"","baseMean","log2FoldChange","lfcSE","pvalue","padj","query"
"Pocillopora_acuta_HIv2___RNAseq.g30553.t1",168.788004457513,-0.247278167787257,1.05092620960909,0.00312798444743429,0.0157258140589814,"Pocillopora_acuta_HIv2___RNAseq.g30553.t1"
"Pocillopora_acuta_HIv2___TS.g29496.t1",1258.16864349179,2.00707753439735,1.39369961999999,0.00312939818744078,0.0157274549628712,"Pocillopora_acuta_HIv2___TS.g29496.t1"
"Pocillopora_acuta_HIv2___TS.g22765.t2",158.1447787579,-0.677821952464349,1.36242773957653,0.0031466127807753,0.0158084776870906,"Pocillopora_acuta_HIv2___TS.g22765.t2"
"Pocillopora_acuta_HIv2___RNAseq.g25873.t1",50.5071965629293,2.31011322822024,1.40482728599256,0.0031554295581441,0.0158472684475682,"Pocillopora_acuta_HIv2___RNAseq.g25873.t1"
"Pocillopora_acuta_HIv2___RNAseq.g694.t1",351.414048589303,-0.228354971119969,1.04743869867489,0.0031663922766105,0.0158968059315843,"Pocillopora_acuta_HIv2___RNAseq.g694.t1"
"Pocillopora_acuta_HIv2___RNAseq.g10951.t1",114.909058806759,-0.539018908952774,1.22524528866115,0.00317567332625451,0.0159358379989107,"Pocillopora_acuta_HIv2___RNAseq.g10951.t1"
"Pocillopora_acuta_HIv2___RNAseq.g22367.t1",303.684940858885,-0.513604675745652,1.13351409378686,0.0031763703644123,0.0159358379989107,"Pocillopora_acuta_HIv2___RNAseq.g22367.t1"
"Pocillopora_acuta_HIv2___RNAseq.g21382.t1",68.2734535989907,-0.307714813184127,1.03785037645553,0.00317874193788554,0.0159422064457616,"Pocillopora_acuta_HIv2___RNAseq.g21382.t1"
"Pocillopora_acuta_HIv2___RNAseq.g23814.t1",154.929964254557,-0.595601157528764,1.2616331367018,0.00318001637578828,0.0159430699685967,"Pocillopora_acuta_HIv2___RNAseq.g23814.t1"
"Pocillopora_acuta_HIv2___TS.g12085.t1a",66.0814647000049,-0.210349426560143,1.04603297378758,0.00318997970816559,0.015987479729351,"Pocillopora_acuta_HIv2___TS.g12085.t1a"
"Pocillopora_acuta_HIv2___RNAseq.g7911.t1",177.427915885601,-0.289414312551177,1.06450468470263,0.00319288992282711,0.0159965222874164,"Pocillopora_acuta_HIv2___RNAseq.g7911.t1"
"Pocillopora_acuta_HIv2___RNAseq.g26575.t1",441.940946214695,-2.05267148387348,1.79862185418267,0.00319818604119405,0.0160175079293043,"Pocillopora_acuta_HIv2___RNAseq.g26575.t1"
"Pocillopora_acuta_HIv2___RNAseq.g19159.t1",4254.38174929535,2.60711350798839,1.84414394668991,0.00320230010131937,0.0160325609780143,"Pocillopora_acuta_HIv2___RNAseq.g19159.t1"
"Pocillopora_acuta_HIv2___RNAseq.g11573.t2",212.893761583232,-0.359360378108069,1.08836744939303,0.00320861882559862,0.0160586376101932,"Pocillopora_acuta_HIv2___RNAseq.g11573.t2"
"Pocillopora_acuta_HIv2___RNAseq.g21482.t1",100.169709027917,-0.608121310744042,1.24450620163166,0.00321085072898559,0.0160642493753191,"Pocillopora_acuta_HIv2___RNAseq.g21482.t1"
"Pocillopora_acuta_HIv2___RNAseq.g3520.t1",293.350525394138,-0.686887115861018,1.23252811751704,0.00321608525957085,0.0160848745485591,"Pocillopora_acuta_HIv2___RNAseq.g3520.t1"
"Pocillopora_acuta_HIv2___TS.g19498.t1",44.1514630332841,-0.527168518302759,1.19497257857075,0.00322919125940517,0.0161448400885021,"Pocillopora_acuta_HIv2___TS.g19498.t1"
"Pocillopora_acuta_HIv2___RNAseq.g13459.t1",134.79358822234,-0.572728351270835,1.20510901285578,0.00323161242702577,0.016151362178473,"Pocillopora_acuta_HIv2___RNAseq.g13459.t1"
"Pocillopora_acuta_HIv2___TS.g6518.t1",277.043664034136,1.36744572581942,2.02490027112004,0.0032327746706642,0.0161515899262476,"Pocillopora_acuta_HIv2___TS.g6518.t1"
