CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
130	4973	9568	34.20	14541
131	4817	9191	34.39	14008
132	4543	9100	33.30	13643
133	4300	9213	31.82	13513
134	4728	9421	33.42	14149
135	4363	9152	32.28	13515
136	4613	8941	34.03	13554
137	4421	8924	33.13	13345
138	4651	9292	33.36	13943
139	4170	9073	31.49	13243
140	4364	8865	32.99	13229
141	4245	8965	32.13	13210
142	4328	9137	32.14	13465
143	4028	8633	31.81	12661
144	4032	8416	32.39	12448
145	3829	8590	30.83	12419
146	4101	8393	32.82	12494
147	3625	8263	30.49	11888
148	3548	8023	30.66	11571
149	2703	7731	25.91	10434
150	1550	7245	17.62	8795
151	0	4319	0.00	4319

CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	76976	95121	44.73	172097
2	93364	81874	53.28	175238
3	66446	89752	42.54	156198
4	79383	75620	51.21	155003
5	77104	78893	49.43	155997
6	79283	81778	49.23	161061
7	67761	86567	43.91	154328
8	77432	85568	47.50	163000
9	64683	89399	41.98	154082
10	76998	85598	47.36	162596
11	73303	89569	45.01	162872
12	78268	82437	48.70	160705
13	69271	86351	44.51	155622
14	74890	83153	47.39	158043
15	64199	84263	43.24	148462
16	75709	81386	48.19	157095
17	73166	84333	46.45	157499
18	75857	80443	48.53	156300
19	65826	85249	43.57	151075
20	73955	80778	47.80	154733
21	64683	83121	43.76	147804
22	74101	79761	48.16	153862
23	71123	83367	46.04	154490
24	74061	78614	48.51	152675
25	64365	82416	43.85	146781
26	70996	78667	47.44	149663
27	61426	80604	43.25	142030
28	72465	76202	48.74	148667
29	68559	82189	45.48	150748
30	72273	76067	48.72	148340
31	63752	80461	44.21	144213
32	69925	75693	48.02	145618
33	60486	78683	43.46	139169
34	68533	76005	47.42	144538
35	66644	78611	45.88	145255
36	70273	74620	48.50	144893
37	62699	76387	45.08	139086
38	67757	73685	47.90	141442
39	58884	75315	43.88	134199
40	68050	73463	48.09	141513
41	66376	75674	46.73	142050
42	68399	71838	48.77	140237
43	60566	74479	44.85	135045
44	65934	72094	47.77	138028
45	57382	73578	43.82	130960
46	65325	71184	47.85	136509
47	63196	73740	46.15	136936
48	65805	69862	48.50	135667
49	57700	72712	44.24	130412
50	63248	69498	47.65	132746
51	55476	72238	43.44	127714
52	63987	67889	48.52	131876
53	62259	70681	46.83	132940
54	64035	66579	49.03	130614
55	56472	70182	44.59	126654
56	62397	66732	48.32	129129
57	53584	69128	43.67	122712
58	60848	65341	48.22	126189
59	58596	68270	46.19	126866
60	62898	64122	49.52	127020
61	54859	66898	45.06	121757
62	59518	63830	48.25	123348
63	52196	65699	44.27	117895
64	57741	63843	47.49	121584
65	55690	66872	45.44	122562
66	58184	62901	48.05	121085
67	51674	65745	44.01	117419
68	57398	62472	47.88	119870
